label,sentence1,sentence2
facts,Les musulmans sont sombres.,"Vérifie tes sources! L'islam prône la liberté de religion comme dans le Coran 'nulle contrainte en religion', prône les valeurs de solidarité, de paix. Il a été une source de lumière pour l'humanité avec beaucoup de découvertes."
facts,Les femmes voilées sont soumises et obligées de porter le foulard.,"Si tel est leur choix, vous ne pouvez pas leur interdire ce que les droits de l homme ont consacré, la liberté de culte."
denouncing,L'islamisation est nuisible.,Met en exergue l'ignorance des gens.
humor,Tous les musulmans sont des terroristes radicaux.,De quel université ?
support,Les musulmans sont tous des terroristes.,L'islam et le terrorisme sont des synonymes.
facts,Je ne veux pas de musulmans dans notre pays.,"Comme toutes les religions, l'Islam est universel et n'a pas un pays spécifique."
denouncing,Les musulmans sont tous des terroristes fondamentalistes islamistes salafistes.,Vous devriez relire la définition de ces termes ou devrais je dire lire la définition de ces termes tant vous semblez être dans l'ignorance la plus totale.
facts,Le voile représente l'humeur politique des musulmans.,Il n y a pas de politique en Islam.
humor,Ton voile est une agression contre moi.,Regarde ailleurs ?.
facts,Les musulmans doivent intégrer ou quitter.,"Les musulmans sont déjà intégrés dans la France. Ils conduisent nos bus, éduquent nos enfants et construisent la nation."
denouncing,Les musulmans ne sont pas tolérants envers les non-musulmans.,Jusqu'à présent vous démontrez que c est l inverse.
hypocrisy,Le voile dans l'Islam a une signification politique.,As t'on déjà vu une femme voilé à l'Assemblée Nationale ?
denouncing,Les femmes voilées sont soumises et obligées de porter le foulard.,"Une généralisation bien étrange, apparemment vous n'avez pas encore rencontré mon épouse."
support,L'islam nous envahira: c'est l'islamisation.,L'islamisation est nuisible.
unrelated,Les musulmans nous volent notre travail.,Prenez du papier. Découpez les pages. Attachez les feuilles ensemble. Ajoutez la couverture. Ajoutez des photos. Faites un joli nœud.
facts,Musulmans: retournez dans votre pays.,L'islam est une religion et non une nationalité.
denouncing,"L'islam encourage les guerres, nous ne devrions pas l'encourager.",Propos isamophobes.
humor,Le voile islamique est une honte pour nous.,Bah regarde ailleurs.
hypocrisy,L'islam est une religion incompatible avec les valeurs de la République.,"La République a 99 problèmes, et l'Islam n'en est pas un."
humor,Les musulmans veulent rendre toute la viande francaise halal.,Vous regardez trop bfmtv.
facts,Les femmes voilées sont misérables et portent le voile contre leur volonté.,C'est leur choix et elles sont libres d'en porter
support,Les musulmans profitent du système français.,Les musulmans utilisent le système français.
denouncing,Nous voyons de plus en plus un problème musulman.,Ce sont les médias qui font ce focus.
facts,Les femmes voilées sont misérables et réprimées.,Les femmes musulmanes sont libres de penser et d'agir librement.
facts,Les musulmans doivent intégrer ou quitter la France!,"Les musulmans, sont des citoyens français, comme tout citoyen d'autres confessions religieuses, la religion ne peut remettre en cause la nationalité ou citoyenneté garantie par la République française."
hypocrisy,L'islam est une religion sombre.,Ah bon? Comment expliquer que le prophète dit que tout extrémisme ne fait pas partie de l'islam. L'islam est une religion du juste milieu et une lumière pour l'humanité.
denouncing,Ton voile est une agression contre moi.,Ces que tu comprend pas le sens de cette tenu.
facts,"L'islam est une religion de guerre, nous devons tous le combattre.","Le Coran n'ordonne absolument pas la guerre mais la paix et la parole douce. Allah dit dans le Coran : ""par la sagesse et la bonne exhortation, appelle les gens au sentier de ton Seigneur. Discute avec eux de la meilleure façon"" (sourate 16 an-Nahl, verset 125)"
facts,Les musulmans forcent leur enfant à jeûner pendant le ramadan.,Nous éduquons nos enfants pour qu'ils jeunent progressivement mais jamais forcer.
unrelated,L'islam est une religion moyenâgeuse.,Limitez le temps passé sur l'écran. Consultez un médecin.
question,L'islam ne partage pas nos valeurs républicaines.,Quelles sont ces valeurs?
denouncing,L'islam nous envahira: c'est l'islamisation.,Des clichés intolérables.
unrelated,"La France est un pays laïc, la pratique de l'Islam devrait être interdite.",Exprimez votre affection. Donnez beaucoup de câlins. Faites l'amour avec votre partenaire. Imaginez une sorte de contact physique.
denouncing,L'islam est une religion incompatible avec les valeurs de la République.,Ces propos stigmatisent une partie des citoyens.
facts,Le voile islamique est un assaut pour nous.,Discutons en que je puisse te prouver le contraire.
denouncing,Le voile islamique est une honte pour nous.,"La liberté des uns s'arrête là où commence celle des autres.""."
facts,"L'islamophobie c'est bien, l'islam c'est mal.",La liberté de conscience aussi.
facts,L'islam et le terrorisme sont des synonymes.,Le terrorisme est une méthode contraire au dogme musulman.
facts,L'islam et le terrorisme sont des synonymes.,"Comme tout généralité, cet argument n'en est pas un."
hypocrisy,Le voile représente l'humeur politique des musulmans.,"Le voile / foulard est de l'ordre du privé, la politique est publique."
facts,Le voile dans l'Islam a une signification politique.,"S'habiller un peu plus si ont est religieux est normal, je ne vois pas de rapport avec la politique"
support,L.es migrants représentent la 5eme colonne.,Les migrants sont nuisibles à notre société.
unrelated,Nous voyons de plus en plus un problème musulman.,Mouchez-vous doucement le nez. Asseyez-vous. Lavez vos sinus avec un pot de neti.
denouncing,Soyons islamophobes et combattons l'islam.,Lislamophobie est une forme de racisme deconplexee envers l'islam!
denouncing,"L'islam est la religion de la guerre, il ne faut pas le laisser.",Propos isamophobes.
support,L'islam est une religion moyenâgeuse.,L'islam n'appartient pas au monde moderne.
support,Nous voyons de plus en plus un problème musulman.,L'islam pose beaucoup de problèmes à notre société.
facts,L'islam et le terrorisme sont des synonymes.,2 milliards de musulmans dans le monde.
facts,Musulmans: retournez dans votre pays.,"La musulmanie n'existe pas, pas plus que la boudhistanie ou la christianie. L'islam est une religion et pas un pays. Chaque pays à des citoyens, et bien souvent les citoyens n'ont pas tous la même religion."
denouncing,Le voile islamique est la démonstration d'un islam politique.,Islam politique? Association malfaitrice.
unrelated,Les musulmans sont tous pareils.,Ouvrez une image dans l'application Aperçu. Cliquez sur Outils. Choisissez Ajuster la taille…. Définissez une nouvelle taille pour l'image. Cliquez sur OK. Cliquez sur Fichier dans la barre de menus.
denouncing,Le voile est contraire à la laïcité.,Il semblerait que vous connaissez pas la définition de la laicité.
facts,Les musulmans détestent quiconque n'est pas musulman.,Les musulmans prennent pour exemple un homme qui a respecté son oncle qui était non croyant et qui a respecté tout ses engagements envers des nons musulmans.
facts,L'islamisation est une menace.,"L'islam n'est pas une maladie. C'est une religion, et chacun est libre de la pratiquer ou non."
question,Les femmes voilées sont misérables et portent le voile contre leur volonté.,Étayer votre affirmation.
hypocrisy,Le voile islamique est la démonstration d'un islam politique.,"Le voile dérange car il est visible, on peut dire quoi sur le port de La Croix ou d'une kippa?"
facts,Le voile islamique est une honte pour nous.,"Porter un voile, et donc, exprimer son opinion religieuse est une des libertés fondamentales de l'individu. Chacun de nous exprime son individualité. Le port du voile, de la même manière, est l'expression d'une individualité."
humor,L'islam et le terrorisme sont des synonymes.,"Affirmation tres recherchée, tu peux mieux faire."
denouncing,L'islamisation est une menace.,Induire La peur et rien que la peur!
facts,Les musulmans forcent les gens à jeûner pendant le ramadan.,Copé est passé par là.
facts,Les musulmans sont tous des terroristes fondamentalistes islamistes salafistes.,"Je ne comprends pas cet enchainement simpliste concernant une population mondiale d 1,5 milliards d humains sur Terre, qui n a jamais été à l origine des massacres coloniaux au long de l Histoire ou des drames du XXe siecle."
support,L'islam n'appartient pas à l'Europe.,L'islam n'est pas européen.
facts,Les femmes voilées sont misérables et réprimées.,Le voile est mis pour se raproche de dieu et pour prier.
denouncing,Les musulmans ne sont pas tolérants aux autres religions.,C'est des propos complètements debiles.
facts,Les musulmans veulent imposer la sharia en Europe.,"Les musulmans n'impose pas la sharia, ils applique les lois Européens dans leurs pratique."
support,"""l'islamophobie"" c'est les musulmans qui veulent empêcher le blasphème.",L'islamophobie est interdite par les musulmans.
denouncing,Le voile islamique est la démonstration d'un islam politique.,Ces propos pour éviter le débat.
facts,L'islam et le terrorisme sont des synonymes.,"Cette déclaration revient à dire ""les Allemands sont tous antisémites xénophobes""."
facts,Les femmes voilées sont misérables et portent le voile contre leur volonté.,"En fait, il est obligatoire pour prier, car devant Dieu, il faut être couvert."
question,Musulmans: retournez dans votre pays.,De quel Pays parlez-vous? Où souhaitez-vous les déporter? En Allemagne? Ou peut être à Drancy? A vous lire.
unrelated,L'islam nous envahira: c'est l'islamisation.,Consultez votre dentiste. Prenez des médicaments en vente libre. Appliquez un anesthésique local.
facts,Les femmes voilées sont misérables et réprimées.,Pour certaines c'est vrai mais pas pour toutes. Une idée lumineuse : Demandez leur?
humor,L'islam et le terrorisme sont des synonymes.,"Vous avez raison, et j'ai remarqué aussi que la plupart sont pompistes ou chauffagistes."
question,L'islam nous envahira: c'est l'islamisation.,Avez vous des statistiques sur la croissance de l'Islam?
denouncing,Les musulmans ne sont pas tolérants envers les non-musulmans.,Je serais sans doute loin si c était vrai.
facts,Le voile islamique est la démonstration d'un islam politique.,"Le voile est lié à une pratique religieuse, rien d'autre."
denouncing,Le voile dans l'Islam a une signification politique.,Récupération politique malsaine.
denouncing,Les musulmans n'évoluent pas.,Ah bon? Soyez crédible.
hypocrisy,Les musulmans doivent intégrer ou quitter la France!,L'intégration forcée avec souhait d'assimilation est un critère de dictature.
facts,L'islam nous envahira: c'est l'islamisation.,"Les convictions religieuses, philosophiques ou idéologiques ne connaissent pas de frontières car elles sont universelles."
question,L'islamisation est une menace.,Qu'est ce qui vous fait dire ça?
facts,Les femmes voilées sont soumises et obligées de porter le foulard.,Les femmes sont libre de porter leur voile en fonction de leur conviction religieuse.
facts,L'islam nous envahira: c'est l'islamisation.,En France la majorité des citoyens sont contre le voile où tout autre signe religieux. Cette réalité il faut l'admettre.
question,L'islam pose beaucoup de problèmes à notre société.,Pouvez vous nous indiqué de quel problème il s agit? Qu avez vous personnellement rencontré comme problème?
unrelated,L'islam nous envahira: c'est l'islamisation.,Apprenez les noms des mois. Apprenez à écrire la date. Dites la date à haute voix. Apprenez l'exception du premier du mois.
support,Le voile islamique est la démonstration d'un islam politique.,Le voile dans l'Islam a une signification politique.
denouncing,On ne peut pas faire confiance aux musulmans c'est tous des escrocs.,"Avec une telle fausse affirmation, on ne peut sûrement pas faire confiance à votre jugement! Cette façon d'essentialiser ne convaincra personne."
unrelated,Les musulmans sont tous pareils.,Maquillez-vous les joues.
hypocrisy,"Les hommes musulmans sont dangereux, les femmes musulmanes sont supprimées.",Faux. On ne peut stéréotyper tous le monde dans une même catégorie.
facts,Les femmes voilées sont misérables et portent le voile contre leur volonté.,"Nous vivons dans un pays ""laïque""."
facts,Les femmes voilées sont misérables et réprimées.,Elles sont libre de le porter ou pas.
facts,L'islam ne partage pas nos valeurs républicaines.,C'est les politiques qu'ils l'ont rendu compliqués avec des lois qui ont ni queues ni tête.
facts,L'islamisation est nuisible.,Voilà le résultat de trop écouter les médias.
facts,Nous voyons de plus en plus un problème musulman.,C'est amplifié par l'actualité.
denouncing,Les femmes voilées sont misérables et portent le voile contre leur volonté.,Comment pouvez vous tenir ce genre de propos alors que vous ne connaissez rien de la place de la femme en Islam!
humor,Tous les musulmans sont des terroristes radicaux.,"Connaissez vous d'autres mots en ""iste"" pour 5pts."
facts,Les terroristes sont musulmans.,Il n'y a que des extrémistes pour tenir ses propos.
denouncing,Les femmes voilées sont misérables et réprimées.,C'est un cliché islamophobe.
facts,L'islam est une religion incompatible avec les valeurs de la République.,"La république est l'islam ôn l'es même but l'egalite , la liberté et l'egalite."
facts,L'islam et le terrorisme sont des synonymes.,"Au niveau statistique c'est faux, souhaitez vous les sources?"
question,Le voile dans l'Islam a une signification politique.,Ah bon? Et pourquoi donc ne trouvons nous pas de femmes voilées en politique?
facts,"L'islam est une religion de guerre, nous devons tous le combattre.",On derange beaucoup mine de rien.
question,Le voile islamique est la démonstration d'un islam politique.,Ah bon? Et pourquoi donc ne trouvons nous pas de femmes voilées en politique?
facts,L'islamisation est nuisible.,Si c'est le résultat de la compréhension de l'islam tel que transmis par les premiers musulmans alors vous ne pourrait que vous en réjouir.
facts,L'islamophobie est un droit. Combattre l'islam est un devoir.,La liberté de conscience aussi.
facts,Les femmes voilées sont misérables et portent le voile contre leur volonté.,Pour l immense majorité c est un choix personnel.
facts,L'islam crée des problèmes pour notre société.,C'est amplifié par l'actualité.
facts,Les musulmans nous volent notre travail.,"Les musulmans postule pour un travail, il ne le vole pas."
hypocrisy,L'islam crée des problèmes pour notre société.,Vous voyez de plus en plus des atteintes au musulmans suite a des polémiques que vous orchestrée.
facts,Les femmes voilées sont soumises et obligées de porter le foulard.,Pour l immense majorité c est un choix personnel.
facts,"Musulmans, partez!","L'histoire montre que c'est l'état qui a ramené beaucoup de travailleurs étranger et de toutes confessions, il faut savoir accepter son héritage."
facts,Je ne veux pas de musulmans dans notre pays.,Il n'existe pas de Musulmanie où émigrer.
facts,L'islam est une maladie qui devrait être guérie.,"Rassurez-vous : l'islam n'est pas contagieux. En revanche, les idées fausses le sont très certainement. Il faut donc les éradiquer absolument. Pour cela, n'hésitez pas à vous ouvrir à autrui et à vous informer en visitant notre site. Votre santé ne s'en portera que mieux."
facts,Les femmes voilées sont misérables et réprimées.,Une femme voilée est libre du regard malsaint d'un homme.
denouncing,Le voile représente l'humeur politique des musulmans.,La France est le seul pays qui cherche à exclure la femme de la société.
hypocrisy,L'islam ne partage pas nos valeurs républicaines.,Tout dépend comment on le pratique mais il n'est pas incompatible si il y'a le respect de chcun pour l'autre.
denouncing,Les musulmans ne sont pas tolérants aux autres religions.,Les préjugés menent à la haine.
denouncing,Le voile représente l'humeur politique des musulmans.,C'est un manque de connaissance des femmes Musulmanes.
question,Tous les musulmans sont des terroristes radicaux.,"Vous avez oublié intégriste, raciste, RMIste. Vous en avez d'autres?"
question,Les femmes voilées sont misérables et portent le voile contre leur volonté.,Comment le savez-vous?
support,Les musulmans sont tous des terroristes.,Les terroristes sont musulmans.
humor,L'islamisation est nuisible.,"C'est quoi ton numéro, tu as des visions futuristes."
denouncing,Nous voyons de plus en plus un problème musulman.,Je reste sans voix face à ces allégations.
denouncing,Le voile dans l'Islam a une signification politique.,Affirmation qui vise à reléguer une catégorie de citoyens de la sphère publique.
humor,Le voile islamique est une honte pour nous.,Si je cherchait à t'étrangler avec mon voile tes propos seraient justifiés ; mais là tu exagères vraiment beaucoup.
question,Le voile islamique est la démonstration d'un islam politique.,Apportez vos preuves.
denouncing,Nous voyons de plus en plus un problème musulman.,Et cela viens d'où à votre avis.
facts,L'islamisation est une menace.,L islam n a pas de couleurs ou de race. C est spirituelle il n a pas de frontières.
denouncing,Le voile dans l'Islam a une signification politique.,Toujours à politiser votre intolérance.
facts,Les femmes voilées sont soumises et obligées de porter le foulard.,"C'est un choix personnel, la preuve: les bonne sœurs!"
support,"L'islam est une religion de guerre, nous devons tous le combattre.","L'islam encourage les guerres, nous ne devrions pas l'encourager."
facts,Les musulmans ne sont pas tolérants aux autres religions.,L'islam est une religion de paix.
question,Les femmes voilées sont misérables et réprimées.,Étayer votre affirmation.
facts,Le voile islamique est la démonstration d'un islam politique.,"Le voile est un choix personnel et religieux. Personnellement, je n'ai jamais vu un hijab faire campagne."
facts,Les musulmans doivent partir.,Le terme musulman ne désigne pas une région de monde.
support,L'islam nous envahira: c'est l'islamisation.,L'islamisation est une menace.
hypocrisy,Les femmes voilées sont misérables et réprimées.,"Et donc, la meilleure solution pour les sortir de cette soumission serait de les culpabiliser dans l'espace public de manière systématique et quoi qu'elles veuillent faire, de les insulter en permanence en niant leur intégration et leur volonté d'aspirer à une vie décente? Drôle de projet d'inclusion, et de manière de sortir quelqu'un de sa soumission."
facts,"Musulmans, partez!",L Islam fait partir intégrante de l Histoire de la Nation.
hypocrisy,Le voile islamique est la démonstration d'un islam politique.,Des qu'une femme s'exprime bien en public ça pose problème.
facts,Le voile islamique est la démonstration d'un islam politique.,"Quand même cela serait-il, exprimer son adhésion à une idéologie, une religion, une philosophie dans l'espace public est protégé par l'article 9 de la CEDH."
facts,Les musulmans sont tous des terroristes.,"Ce n'est pas parce que des terroristes se revendiquent musulmans, qu'il faut mettre tous les musulmans dans le meme sac. De la meme maniere qu'anders brevick s'est revendiqué chretien, nous ne devons pas considerer les chretiens comme terroristes."
humor,Les musulmans ne laissent pas les gens s'en prendre à cause du ramadan.,Vous habitez sur quelle planète?
facts,Le voile islamique est une honte pour nous.,"C'est ta façon de l'envisager, en aucun cas une finalité. Je le porte librement, religieusement, pour moi-même."
denouncing,Les musulmans détestent quiconque n'est pas musulman.,Ignorance totale de notre religion.
facts,L'islam est une religion incompatible avec les valeurs de la République.,La république par définition garantie la liberté des cultes.
facts,Les musulmans ne sont pas tolérants aux autres religions.,L'islam prône la tolérance et le respect vis à vis des non musulmans.
unrelated,Nous voyons de plus en plus un problème musulman.,Localisez les planètes. Renseignez-vous au sujet des planètes personnelles. Renseignez-vous sur les planètes externes. Interprétez le passage des planètes dans votre signe et dans vos maisons.
humor,Tous les musulmans sont des terroristes radicaux.,Et cycliste aussi.
denouncing,Les musulmans ne sont pas tolérants envers les non-musulmans.,Les préjugés menent à la haine.
facts,Les femmes voilées sont soumises et obligées de porter le foulard.,Oui obligé si elles veulent êtres en accord avec leur religion.
denouncing,Les femmes voilées sont soumises et obligées de porter le foulard.,C'est un cliché islamophobe.
humor,Le voile islamique est un assaut pour nous.,Agression est un bien grand mot.
humor,Ton voile est une agression contre moi.,Tu es donc constamment agressé par des bonnes sœurs? Quelle vie horrible.
facts,Les musulmans sont affreux.,"Faite un tour à la mosquée, parlez aux fidèles et vous verrez que vous vous faites une mauvaise idees des musulmans."
facts,Les femmes voilées sont soumises et obligées de porter le foulard.,Beaucoup de femmes voilées sont cultivées et font ce choix contre l'avis de leurs maris ou famille.
hypocrisy,Ton voile est une agression contre moi.,Tes propos sont une agression pour moi.
facts,Les musulmans sont tous des terroristes.,Dans chaque religion il y a de bon et des mauvais.
denouncing,Le voile représente l'humeur politique des musulmans.,Vous voyez l'islam politique partout.
denouncing,L'islam est une religion sombre.,Jugement personnel que vous souhaitez érigez en règle universelle.
denouncing,Les femmes voilées sont misérables et réprimées.,Vous parlez sans savoir.
facts,Les femmes voilées sont misérables et portent le voile contre leur volonté.,Le port du voile est un choix personnel.
humor,Vous ne devriez pas croire les musulmans.,"Une telle réflexion mérite le prix Nobel! Sérieusement, vous mettez en grave danger votre crédibilité intellectuelle."
facts,L'islamisation est nuisible.,"Avant la christianisation de la france, il y avait peut etre une religion majoritaire, et avant cela, sans doute une autre, et ainsi de suite. Apres l'islamisation, peut etre que la france deviendra bouddhiste, c'est ce qui fait tout simplement l'histoire de l'humanité."
denouncing,"L'islam est mauvais, nous devrions nous en débarrasser.","Commençons par l islamophobie, véritable fléau."
hypocrisy,Les femmes voilées sont misérables et réprimées.,La foi ne s'impose pas.
question,L'islam nous envahira: c'est l'islamisation.,"L'islam est majoritaire à Mayotte, très présent à la Réunion. Les habitants s'en portent ils mal pour autant?"
facts,Le voile islamique est une honte pour nous.,Tu n as nul besoin d adherer a mes convictions.
facts,Les musulmans sont tous des terroristes.,"L'islam existe depuis plus de 1400 ans, et je n'entends cette affirmation que depuis quelques annees, je ne sais pas où j'avais la tete tout ce temps."
facts,L'islamisation est une menace.,"L'islam est en Europe depuis des siècles, le problème c'est l'extrême droite et ça a l'a toujours été."
denouncing,Le voile dans l'Islam a une signification politique.,Et votre tweet est la démonstration de votre islamophobie.
facts,Les musulmans sont antisémites.,"Pendant la période Nazie, les musulmans ont volontairement protégés les juifs."
unrelated,L'islam n'appartient pas à l'Europe.,Appliquez une compresse chaude. Prenez un antidouleur en vente libre. Interrogez votre médecin sur les gouttes auriculaires.
hypocrisy,Le voile islamique est un assaut pour nous.,Ta parole est une agression contre ma religion.
hypocrisy,Nous voyons de plus en plus un problème musulman.,"La France ne ressentait pas de problème à exploiter, inférioriser voire massacrer ses musulmans des colonies."
question,L'islam crée des problèmes pour notre société.,Pouvez vous détailler vos propos car les problèmes dont vous parlez sont sûrement des problèmes sociaux economique.
question,Les musulmans sont tous des racailles.,Faite vous la différence entre arabe et musulman?
facts,Les musulmans nous volent notre travail.,"Dans les pays dits musulmans , il y a des milliers rapatriés non musulmans qui y travaillent sans entendre ce discours."
denouncing,L'islam crée des problèmes pour notre société.,Vous faites bien de preciser que VOUS VOYEZ.
unrelated,Les musulmans ont envahi nos pays.,Mettez une écharpe pendant que vous êtes au lit. Dormez en adoptant une position allongée. Soulevez votre bras blessé. Construisez une barrière ou un fort avec des oreillers.
question,Les femmes voilées sont misérables et réprimées.,Qui les force?
facts,Le voile dans l'Islam a une signification politique.,C'est un signe religieux tout personne de fois est couverte aucun lien avec la politique.
facts,"La France est un pays laïc, la pratique de l'Islam devrait être interdite.",La laïcité est la neutralité de l'état vis à vis de toutes les religions à part égal.
denouncing,Les femmes voilées sont soumises et obligées de porter le foulard.,C'est bien dommage de constater que les gens ne sont pas aussi respectueux envers les femmes musulmanes dans un pays qui est sensé être les droits de l'homme.
denouncing,Ton voile est une agression contre moi.,Votre tutoiement est un manque de respect et une agression verbale contre moi.
denouncing,"""l'islamophobie"" c'est les musulmans qui veulent empêcher le blasphème.","""l'islamophobie"" est un délit."
facts,Ton voile est une agression contre moi.,Ce n'est pas son but. Mon voile est un vêtement qui fait partie de moi.
denouncing,Les femmes musulmanes sont toutes mères au foyer.,Faux. Inutile.
support,Les musulmans empêchent les filles de porter des jupes.,Les filles musulmanes sont obligées de porter des jupes.
humor,Ton voile est une agression contre moi.,"De même, votre culotte peut être inconfortable pour les autres."
denouncing,Le voile dans l'Islam a une signification politique.,"Ya pas de ""s"" à démonstration!"
hypocrisy,Le voile dans l'Islam a une signification politique.,Si en France le voile est politique quelle est sa démonstration en Égypte?
facts,Les musulmans imposent des règles vestimentaires aux filles.,"Le vêtement de la femme musulmane doit être ample, tout comme cela de l'homme c'est un signe de pudeur!"
denouncing,Les musulmans sont sombres.,Votre manque de connaissance et de culture me contraint à vous inviter à un thé pour vous transmettre des éléments de ma religion.
question,Les femmes voilées sont misérables et réprimées.,Connaissez vous réellement une femme voilée?
facts,Je ne veux pas de musulmans dans notre pays.,L Islam fait partir intégrante de l Histoire de la Nation.
facts,Le voile représente l'humeur politique des musulmans.,"Pour plus de clarté, je reformule votre tweet : le voile est le vêtement d'une femme musulmane qui souhaite le porter."
denouncing,L'islamophobie est bénéfique pour être banni par les musulmans.,"""l'islamophobie"" est un délit."
denouncing,Les femmes voilées sont soumises et obligées de porter le foulard.,C'est une insulte à la liberté de conscience de femmes musulmanes.
unrelated,Le voile est contraire à la laïcité.,Ajoutez un trait de crème fraiche. Utilisez de la maïzena à la place de la farine dans le roux. Essayez un paquet de sauce au bœuf déshydratée. Choisissez une option sans gluten.
hypocrisy,Les femmes voilées sont misérables et réprimées.,Intéresser vous à ceux que la femme voilé à dans la tête et non pas sure la tête.
facts,L'islamisation est une menace.,L'islam appelle à Dieu: c'est une proposition et jamais une obligation!
facts,Nous ne devrions pas laisser le voile sur nos filles.,Ce n'est pas interdit par la loi.
facts,Les musulmans ont envahi nos pays.,"Les musulmans sont venus dans nos pays pour diverses raisons: économique, rapprochement familial."
humor,Les femmes voilées sont misérables et réprimées.,"De même que les policiers le sont, obligés de porter leurs casques!"
support,"""l'islamophobie"" c'est un moyen de nous retirer notre liberté d'expression.",Nous ne devrions pas nous décourager de l'islamophobie.
facts,Les musulmans détestent quiconque n'est pas musulman.,"L'islam prône le respect de la création de Dieu, c'est à dire toute l'humanité."
question,Les femmes voilées sont soumises et obligées de porter le foulard.,Vous leur avez posée la question ou c'est une réflexion personnelle?
denouncing,Nous voyons de plus en plus un problème musulman.,En politique absent!
denouncing,Les musulmans ne sont pas tolérants envers les non-musulmans.,Arrêtez un instant cette construction de l'ennemi permanent.
humor,L'islam et le terrorisme sont des synonymes.,Vous êtes un fumiste.
question,"Les hommes musulmans sont violents, les femmes musulmanes sont soumises.","Existe il des statistiques concernant les auteurs des actes violents commis contre les femmes, et qui permettent de se prononcer ainsi."
facts,L'islam et le terrorisme sont des synonymes.,Vous pouvez être fondamentalement Islamiste et Salafiste mais de manière pacifique.
denouncing,Je n'ai pas de travail grâce aux musulmans.,Cette remarque est tellement peut fondé.
denouncing,L'islam est une maladie qui doit être éradiquée.,L'ignorance est une maladie que l'islam peut éradiquer!
humor,Les musulmans sont tous des terroristes fondamentalistes islamistes salafistes.,Tant d adjectifs que vous empilez!
hypocrisy,Les musulmans forcent leur enfant à jeûner pendant le ramadan.,Au contraire les jeunes aiment jeuner pour faire comme tout le monde.
humor,L'islam pose beaucoup de problèmes à notre société.,Qui dit problème dit solution.
denouncing,"L'islam est une religion de guerre, nous devons tous le combattre.",Discrimination.
facts,Les femmes voilées sont soumises et obligées de porter le foulard.,Les femmes voilées le son par conviction religieuse et non par contrainte. Ont trouve d'ailleurs de nombreuse familles musulmanes au sein desquelles certaines femmes sont voilées et d'autres non.
hypocrisy,Les musulmans empêchent les gens de manger pendant le ramadan.,Le jeune est une démarche personnelle.
facts,L'islam et le terrorisme sont des synonymes.,Beaucoup d'actions de solidarité sont menés par des musulmans.
facts,L'islamisation est une menace.,"Mdr ont est la parce que la France a coloniser nos pays et à pris toute les richesses , et après il à mis des collaborateur pour l'éternité."
facts,L'islam pose beaucoup de problèmes à notre société.,Les musulmans veulent simplement vivre comme n'importe quel citoyens français.
question,Nous voyons de plus en plus un problème musulman.,Quel est le problème au juste?
humor,Je ne veux pas de musulmans dans notre pays.,Non musulmans retournez dans vos pays!
facts,Les musulmans ne sont pas tolérants aux autres religions.,"L'histoire prouve que cela est faux: les musulmans ont conclu des pactes garantissant la coexistence pacifique (Constitution de Médine, etc.)"
denouncing,Le voile islamique est un assaut pour nous.,C'est vous qui manquez de tolérance vis à vis d'une personne qui ne pense pas comme vous.
denouncing,L'islam et le terrorisme sont des synonymes.,Propos d'inculte et de raciste.
denouncing,Filles voilées c'est pas bien.,Cela ne vous regarde pas.
facts,L'islamisation est une menace.,Personne n'a jamais été forcé à se convertir à l'islam. Ça se saurait.
facts,Les musulmans occupent nos supermarchés.,Nous n'obligeons personne à manger hallal.
denouncing,L'islamisation est nuisible.,Faire le jeu de la division empêche d'avancer ensemble sur les questions de racisme et les questions sociales.
facts,L'islam pose beaucoup de problèmes à notre société.,Les musulmans ne sont pas un problème. Ils cherchent leur place dans la société et n inspirent qu a vivre en paix mais ne souhaite pas vivre caché où être assimilé. Nous sommes tous une force pour notre société.
facts,Les femmes voilées sont soumises et obligées de porter le foulard.,Le foulard n est en aucun cas un objet de soumission et un acte forcée. Cela relève du préjugé et de la méconnaissance de son revêtement. C est en aucun cas un objet qui entrave la liberté. Elles n empêchent en aucun cas de travailler de sortir ou voyager avec des amies.
question,Le voile islamique est une honte pour nous.,En quoi il t'agresse?
facts,Les musulmans exploitent le système français.,"Le système français permet aux personnes qui en ont besoin de bénéficier de certains avantages ou allocations spécifiques, déterminés par le législateur. Le critère religieux n'entre pas en considération dans l'attribution de ces aides."
support,Les musulmans forcent leur enfant à jeûner pendant le ramadan.,Les enfants musulmans ne sont pas autorisés à manger pendant le ramadan.
question,Les musulmans détestent quiconque n'est pas musulman.,Pourriez vous nous donner des preuves à l'appui ( questionnaires et méthodologies employées.)? Sources?
denouncing,L'islam et le terrorisme sont des synonymes.,"Si vous arrivez à me donner la definition de tous les mots que vous employez, j'écouterai peut être vos arguments, si vous en avez."
humor,Tous les musulmans sont des terroristes radicaux.,"Vous avez oublié djihadiste, pongiste, vélociste, Salakis. Au bon lait de Brebis!"
denouncing,Les femmes musulmanes restent chez elles.,Stéréotype.
facts,Les filles musulmanes sont obligées de porter des jupes.,"Le vêtement de la femme musulmane doit être ample, tout comme cela de l'homme c'est un signe de pudeur!"
hypocrisy,Les femmes voilées sont soumises et obligées de porter le foulard.,"Si vous prétendez la défendre, donnez lui la parole ne parlez pas à sa place, ne la considérez pas comme un être inférieur qui doit se soumettre à la pensée du plus fort et vous verrez si elle est réellement soumise et obligée."
